home,score,away,year
Australia ,0–0, Jordan,2024
Qatar ,2–0, Indonesia,2024
Indonesia ,1–0, Australia,2024
Jordan ,1–2, Qatar,2024
Qatar ,0–0, Australia,2024
Jordan ,1–4, Indonesia,2024
Japan ,1–0, China,2024
South Korea ,1–0, United Arab Emirates,2024
China ,0–2, South Korea,2024
United Arab Emirates ,0–2, Japan,2024
United Arab Emirates ,1–2, China,2024
Japan ,0–1, South Korea,2024
Iraq ,0–2, Thailand,2024
Saudi Arabia ,4–2, Tajikistan,2024
Thailand ,0–5, Saudi Arabia,2024
Tajikistan ,2–4, Iraq,2024
Thailand ,0–1, Tajikistan,2024
Saudi Arabia ,1–2, Iraq,2024
Uzbekistan ,2–0, Malaysia,2024
Vietnam ,3–1, Kuwait,2024
Malaysia ,0–2, Vietnam,2024
Kuwait ,0–5, Uzbekistan,2024
Kuwait ,2–1, Malaysia,2024
Uzbekistan ,3–0, Vietnam,2024
Qatar ,2–4 (a.e.t.), Japan,2024
South Korea ,2–2 (a.e.t.), Indonesia,2024
Uzbekistan ,2–0, Saudi Arabia,2024
Iraq ,1–0, Vietnam,2024
Indonesia ,0–2, Uzbekistan,2024
Japan ,2–0, Iraq,2024
Iraq ,2–1 (a.e.t.), Indonesia,2024
Japan ,1–0, Uzbekistan,2024
