HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Qatar,Lebanon,2023,3,0,3
China,Tajikistan,2023,0,0,0
Lebanon,China,2023,0,0,0
Tajikistan,Qatar,2023,0,1,1
Qatar,China,2023,1,0,1
Tajikistan,Lebanon,2023,2,1,3
Australia,India,2023,2,0,2
Uzbekistan,Syria,2023,0,0,0
Syria,Australia,2023,0,1,1
India,Uzbekistan,2023,0,3,3
Australia,Uzbekistan,2023,1,1,2
Syria,India,2023,1,0,1
United Arab Emirates,Hong Kong,2023,3,1,4
Iran,Palestine,2023,4,1,5
Palestine,United Arab Emirates,2023,1,1,2
Hong Kong,Iran,2023,0,1,1
Iran,United Arab Emirates,2023,2,1,3
Hong Kong,Palestine,2023,0,3,3
Japan,Vietnam,2023,4,2,6
Indonesia,Iraq,2023,1,3,4
Iraq,Japan,2023,2,1,3
Vietnam,Indonesia,2023,0,1,1
Japan,Indonesia,2023,3,1,4
Iraq,Vietnam,2023,3,2,5
South Korea,Bahrain,2023,3,1,4
Malaysia,Jordan,2023,0,4,4
Jordan,South Korea,2023,2,2,4
Bahrain,Malaysia,2023,1,0,1
South Korea,Malaysia,2023,3,3,6
Jordan,Bahrain,2023,0,1,1
Thailand,Kyrgyzstan,2023,2,0,2
Saudi Arabia,Oman,2023,2,1,3
Oman,Thailand,2023,0,0,0
Kyrgyzstan,Saudi Arabia,2023,0,2,2
Saudi Arabia,Thailand,2023,0,0,0
Kyrgyzstan,Oman,2023,1,1,2
Australia,Indonesia,2023,4,0,4
Tajikistan,United Arab Emirates,2023,1,1,2
Iraq,Jordan,2023,2,3,5
Qatar,Palestine,2023,2,1,3
Uzbekistan,Thailand,2023,2,1,3
Saudi Arabia,South Korea,2023,1,1,2
Bahrain,Japan,2023,1,3,4
Iran,Syria,2023,1,1,2
Tajikistan,Jordan,2023,0,1,1
Australia,South Korea,2023,1,2,3
Iran,Japan,2023,2,1,3
Qatar,Uzbekistan,2023,1,1,2
Jordan,South Korea,2023,2,0,2
Iran,Qatar,2023,2,3,5
Jordan,Qatar,2023,1,3,4
